0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:05 +0100] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:07 +0100] "GET /admin/nvfiliere HTTP/1.1" 200 14104
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:07 +0100] "GET /img/undraw_profile.svg HTTP/1.1" 200 2820
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:07 +0100] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:07 +0100] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170737
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:07 +0100] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:07 +0100] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:07 +0100] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:07 +0100] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:07 +0100] "GET /vendor/chart.js/chart.js HTTP/1.1" 200 443106
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:07 +0100] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:14 +0100] "POST /admin/savefiliere HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:14 +0100] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:14 +0100] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170737
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:14 +0100] "GET /user/listefiliere HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:14 +0100] "GET /img/undraw_profile.svg HTTP/1.1" 200 2820
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:14 +0100] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:14 +0100] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:14 +0100] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:14 +0100] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:14 +0100] "GET /vendor/chart.js/chart.js HTTP/1.1" 200 443106
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:14 +0100] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:17 +0100] "GET /admin/nvetudiant HTTP/1.1" 200 14958
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:17 +0100] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:17 +0100] "GET /img/undraw_profile.svg HTTP/1.1" 200 2820
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:17 +0100] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170737
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:17 +0100] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:17 +0100] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:17 +0100] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:17 +0100] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:17 +0100] "GET /vendor/chart.js/chart.js HTTP/1.1" 200 443106
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:17 +0100] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:27 +0100] "POST /admin/saveetudiant HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:27 +0100] "GET /admin/nvetudiant HTTP/1.1" 200 14958
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:27 +0100] "GET /img/undraw_profile.svg HTTP/1.1" 200 2820
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:27 +0100] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:27 +0100] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:27 +0100] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170737
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:27 +0100] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:27 +0100] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:27 +0100] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:27 +0100] "GET /vendor/chart.js/chart.js HTTP/1.1" 200 443106
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:27 +0100] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:29 +0100] "GET /user/home HTTP/1.1" 200 17144
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:29 +0100] "GET /vendor/da2.js HTTP/1.1" 200 1733
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:29 +0100] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:29 +0100] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:29 +0100] "GET /img/undraw_profile.svg HTTP/1.1" 200 2820
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:29 +0100] "GET /css/sb-admin-2.min.css HTTP/1.1" 200 170737
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:29 +0100] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:29 +0100] "GET /js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:29 +0100] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:29 +0100] "GET /vendor/chart.js/chart.js HTTP/1.1" 200 443106
0:0:0:0:0:0:0:1 - - [08/Oct/2025:17:45:29 +0100] "GET /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
